,School Name,Address,School type,Board,School Type,School Type.1,Established year,Address1,Details,School_type,P/G,Board,Co-Educational,Established
23,Abhyudaya High School,"Balijipeta Road
Vizianagaram - 535573, Andhra Pradesh, India
Phone: (08944) 255177
Details:
High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School
Established in 1980",High Secondary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,Established in 1980,"Balijipeta Road
Vizianagaram - 535573, Andhra Pradesh, India
Phone: (08944) 255177
","High Secondary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School
Established in 1980",High Secondary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,Established in 1980
24,Abhyudaya KG and Primary School,"#1-1-336/113, Shop #1-11524/3, Vivek Nagar, New Bakaram Chikkadpally, Himayat Nagar
Hyderabad - 500029, Andhra Pradesh, India
Phone: (040) 27637247, 27607502
Details:
Nursery - Class V
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class V,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"#1-1-336/113, Shop #1-11524/3, Vivek Nagar, New Bakaram Chikkadpally, Himayat Nagar
Hyderabad - 500029, Andhra Pradesh, India
Phone: (040) 27637247, 27607502
","Nursery - Class V
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Nursery - Class V,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
25,Abhyudaya Primary School,"1-1-336/108, Near Hanuman Temple, Vivek Nagar, RTC Cross Road
Hyderabad - 500020, Andhra Pradesh, India
Phone: (040) 64518084
Details:
Primary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Primary School,Andhra Pradesh Board of Secondary Education,Private School,Co-Educational School,,"1-1-336/108, Near Hanuman Temple, Vivek Nagar, RTC Cross Road
Hyderabad - 500020, Andhra Pradesh, India
Phone: (040) 64518084
","Primary School
Andhra Pradesh Board of Secondary Education
Private School
Co-Educational School",Primary School,Private School,Andhra Pradesh Board of Secondary Education,Co-Educational School,
26,ABM Junior College and School,"One Town, Ongole Bazar, Ongole
Prakasam - 523001, Andhra Pradesh, India
Phone: (08592) 230590
Mobile : 9849744765
Details:
Senior Secondary School
Private School
Co-Educational School",Senior Secondary School,Private School,Co-Educational School,,,"One Town, Ongole Bazar, Ongole
Prakasam - 523001, Andhra Pradesh, India
Phone: (08592) 230590
Mobile : 9849744765
","Senior Secondary School
Private School
Co-Educational School",Senior Secondary School,Private School,,Co-Educational School,
27,Academic Heights Public School - AHPS,"Plot No. 153, Air By Pass Road, Near M.R. Palli Circle
Tirupati - 517202, Andhra Pradesh, India
Mobile : 9000867321, 7893171278
Details:
Nursery - Class X
CBSE Board
Private School
Co-Educational School",Nursery - Class X,CBSE Board,Private School,Co-Educational School,,"Plot No. 153, Air By Pass Road, Near M.R. Palli Circle
Tirupati - 517202, Andhra Pradesh, India
Mobile : 9000867321, 7893171278
","Nursery - Class X
CBSE Board
Private School
Co-Educational School",Nursery - Class X,Private School,CBSE Board,Co-Educational School,
28,Academic Heights Public School - AHPS Badangpet,"Plot No. 1, 169 and 170, Green Rich Avenue, Badangpet (Nagar Panchayat), Saroornagar (Mandol)
Rangareddi - 500097, Andhra Pradesh, India
Mobile : 9394708099, 7680996999
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"Plot No. 1, 169 and 170, Green Rich Avenue, Badangpet (Nagar Panchayat), Saroornagar (Mandol)
Rangareddi - 500097, Andhra Pradesh, India
Mobile : 9394708099, 7680996999
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
29,Academic Heights Public School - AHPS Beeramguda,"Plot No. 1, 2 and 3 Part, K.S.R. NRI Anand Nagar Residency, Beeramguda
Medak - 502032, Andhra Pradesh, India
Mobile : 9347699111
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"Plot No. 1, 2 and 3 Part, K.S.R. NRI Anand Nagar Residency, Beeramguda
Medak - 502032, Andhra Pradesh, India
Mobile : 9347699111
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
30,Academic Heights Public School - AHPS Bhongiri,"House No. B-1, Hanumanpur Village, Bhongir Mandal
Hyderabad - 508116, Andhra Pradesh, India
Mobile : 9989743499, 9248051880
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"House No. B-1, Hanumanpur Village, Bhongir Mandal
Hyderabad - 508116, Andhra Pradesh, India
Mobile : 9989743499, 9248051880
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
31,Academic Heights Public School - AHPS Boduppal,"Survey No. 51, Near Shivalayam, Venkat Reddy Colony, Boligudem Road, Boduppal, Gatkesar Mandal
Rangareddi - 500092, Andhra Pradesh, India
Mobile : 9393662111, 7093903311
Details:
Play - Kindergarten
CBSE Board
Private School
Co-Educational School",Play - Kindergarten,CBSE Board,Private School,Co-Educational School,,"Survey No. 51, Near Shivalayam, Venkat Reddy Colony, Boligudem Road, Boduppal, Gatkesar Mandal
Rangareddi - 500092, Andhra Pradesh, India
Mobile : 9393662111, 7093903311
","Play - Kindergarten
CBSE Board
Private School
Co-Educational School",Play - Kindergarten,Private School,CBSE Board,Co-Educational School,
32,Academic Heights Public School - AHPS Chandanagar,"1-33/3/8/9, Kailashnagar Colony, Chandanagar, Sridevi Theater Lane
Hyderabad - 500050, Andhra Pradesh, India
Phone: (040) 65864989, 65267151
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"1-33/3/8/9, Kailashnagar Colony, Chandanagar, Sridevi Theater Lane
Hyderabad - 500050, Andhra Pradesh, India
Phone: (040) 65864989, 65267151
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
33,Academic Heights Public School - AHPS DD Colony,"2-2-185/55/B, Behind New State Bank of Hyderabad, D.D. Colony Bagh, Amberpet
Hyderabad, Andhra Pradesh, India
Mobile : 9392997555, 9347048287
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"2-2-185/55/B, Behind New State Bank of Hyderabad, D.D. Colony Bagh, Amberpet
Hyderabad, Andhra Pradesh, India
Mobile : 9392997555, 9347048287
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
34,Academic Heights Public School - AHPS ECIL,"P-4-N, Anupuram Beside Andhra Bank, ECIL
Hyderabad - 500062, Andhra Pradesh, India
Mobile : 9912349905, 9666993366
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"P-4-N, Anupuram Beside Andhra Bank, ECIL
Hyderabad - 500062, Andhra Pradesh, India
Mobile : 9912349905, 9666993366
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
35,Academic Heights Public School - AHPS Karimnagar,"House No. 2-10-1282, Back Side Lane District Court, Jyothi Nagar
Karimnagar - 505001, Andhra Pradesh, India
Mobile : 9346002121, 9346002122
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"House No. 2-10-1282, Back Side Lane District Court, Jyothi Nagar
Karimnagar - 505001, Andhra Pradesh, India
Mobile : 9346002121, 9346002122
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
36,Academic Heights Public School - AHPS Kothapet,"Opp. To Electricity Sub Division Office, CTO Colony, Mohannagar, Kothapet
Hyderabad - 500035, Andhra Pradesh, India
Phone: (040) 65535947
Mobile : 9133932246
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"Opp. To Electricity Sub Division Office, CTO Colony, Mohannagar, Kothapet
Hyderabad - 500035, Andhra Pradesh, India
Phone: (040) 65535947
Mobile : 9133932246
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
37,Academic Heights Public School - AHPS Kukutpally,"HIG-258, Phase 6, KPHB Colony, Kukatpally
Hyderabad, Andhra Pradesh, India
Phone: (040) 64592123
Mobile : 9391958989
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"HIG-258, Phase 6, KPHB Colony, Kukatpally
Hyderabad, Andhra Pradesh, India
Phone: (040) 64592123
Mobile : 9391958989
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
38,Academic Heights Public School - AHPS Malakpet,"16-2-705/1/12, Professor’s Colony, Malakpet
Hyderabad, Andhra Pradesh, India
Phone: (040) 64546401
Mobile : 9246246401
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"16-2-705/1/12, Professor’s Colony, Malakpet
Hyderabad, Andhra Pradesh, India
Phone: (040) 64546401
Mobile : 9246246401
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
39,Academic Heights Public School - AHPS Mirlayguda,"H.No. 8-15-70, Sru Ram Nagar Colony, LB Nagar, Mirlayguda
Hyderabad - 500074, Andhra Pradesh, India
Mobile : 8187894958
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"H.No. 8-15-70, Sru Ram Nagar Colony, LB Nagar, Mirlayguda
Hyderabad - 500074, Andhra Pradesh, India
Mobile : 8187894958
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
40,Academic Heights Public School - AHPS Miyapur,"Plot No. 43 and 44, Pragathi Enclave, Miyapur
Hyderabad, Andhra Pradesh, India
Phone: (040) 32997716
Mobile : 9394474111
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"Plot No. 43 and 44, Pragathi Enclave, Miyapur
Hyderabad, Andhra Pradesh, India
Phone: (040) 32997716
Mobile : 9394474111
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
41,Academic Heights Public School - AHPS Nizampet,"H.No. 3-83/1/A/5, Eswar Villas Road, Nizampet
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9347232921, 9000544149
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"H.No. 3-83/1/A/5, Eswar Villas Road, Nizampet
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9347232921, 9000544149
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
42,Academic Heights Public School - AHPS Ramaiah Nagar,"Plot No. 41 and 42, Ramaiah Nagar, Kukatpally
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9347376233
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"Plot No. 41 and 42, Ramaiah Nagar, Kukatpally
Hyderabad - 500072, Andhra Pradesh, India
Mobile : 9347376233
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
43,Academic Heights Public School - AHPS Shadnagar,"Tagore High School, Campus 9-60, Raghavendra Colony, Shadnagar
Mahbubnagar - 509216, Andhra Pradesh, India
Mobile : 9849207352, 8548251479
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"Tagore High School, Campus 9-60, Raghavendra Colony, Shadnagar
Mahbubnagar - 509216, Andhra Pradesh, India
Mobile : 9849207352, 8548251479
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
44,Academic Heights Public School - AHPS Shamshergunj,"#18-4-42, Aliabad, Shamsher Gunj
Hyderabad, Andhra Pradesh, India
Phone: (040) 64546403
Mobile : 9246246403
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"#18-4-42, Aliabad, Shamsher Gunj
Hyderabad, Andhra Pradesh, India
Phone: (040) 64546403
Mobile : 9246246403
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
45,Academic Heights Public School - AHPS SR Nagar,"63-D and 76-B, Street, No. 8 and 9, Lane No. 14, Near Community Hall, S.R. Nagar
Hyderabad, Andhra Pradesh, India
Mobile : 7095388000, 7095488000
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"63-D and 76-B, Street, No. 8 and 9, Lane No. 14, Near Community Hall, S.R. Nagar
Hyderabad, Andhra Pradesh, India
Mobile : 7095388000, 7095488000
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
46,Academic Heights Public School - AHPS Suncity,"Plot No. 93/1, Manasa Estate, Beside Pavani Harmony Villas, Bandlaguda Jagir
Hyderabad - 500086, Andhra Pradesh, India
Mobile : 9963001999
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"Plot No. 93/1, Manasa Estate, Beside Pavani Harmony Villas, Bandlaguda Jagir
Hyderabad - 500086, Andhra Pradesh, India
Mobile : 9963001999
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
47,Academic Heights Public School - AHPS Vanasthalipuram,"Plot No. 187, Opp. Reliance Fresh, Vanasthali Hills Colony, Vanasthalipuram
Hyderabad - 500070, Andhra Pradesh, India
Mobile : 9394285111, 9395150785
Details:
Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,CBSE Board,Private School,Co-Educational School,,"Plot No. 187, Opp. Reliance Fresh, Vanasthali Hills Colony, Vanasthalipuram
Hyderabad - 500070, Andhra Pradesh, India
Mobile : 9394285111, 9395150785
","Senior Secondary School
CBSE Board
Private School
Co-Educational School",Senior Secondary School,Private School,CBSE Board,Co-Educational School,
48,Accord School,"RC Road, Chiguruwada
Tirupati - 517507, Andhra Pradesh, India
Phone: (0877) 6457775
Mobile : 9908729577, 9581978737, 7680077100
Details:
Kindergarten - Class XII
CBSE Board
Private School
Co-Educational School",Kindergarten - Class XII,CBSE Board,Private School,Co-Educational School,,"RC Road, Chiguruwada
Tirupati - 517507, Andhra Pradesh, India
Phone: (0877) 6457775
Mobile : 9908729577, 9581978737, 7680077100
","Kindergarten - Class XII
CBSE Board
Private School
Co-Educational School",Kindergarten - Class XII,Private School,CBSE Board,Co-Educational School,
49,ACM Residential High School,"4-80, Near Railway Gate, Adjacent Ramalingeswaraswamy Temple, Medchal
Secunderabad - 501401, Andhra Pradesh, India
Mobile : 9246158925
Details:
High Secondary School
ICSE/ISC Board
Private School
Co-Educational School",High Secondary School,ICSE/ISC Board,Private School,Co-Educational School,,"4-80, Near Railway Gate, Adjacent Ramalingeswaraswamy Temple, Medchal
Secunderabad - 501401, Andhra Pradesh, India
Mobile : 9246158925
","High Secondary School
ICSE/ISC Board
Private School
Co-Educational School",High Secondary School,Private School,ICSE/ISC Board,Co-Educational School,
